year,mole_fraction_CO2
1965,319.8159605
1966,320.8799597
1967,321.4799589
1968,322.388958
1969,323.250957
1970,324.7829559
1971,325.399955
1972,327.3489541
1973,329.9089531
1974,330.7559525
1975,330.826952
1976,331.544951
1977,333.3529501
1978,335.0099494
1979,336.6049484
1980,338.7049479
1981,340.0589478
1982,340.6439474
1983,342.2659473
1984,344.0079495
1985,345.4589538
1986,346.9029481
1987,348.7749474
1988,351.2759329
1989,352.8939214
1990,354.0729301
1991,355.3529349
1992,356.2289489
1993,356.9249589
1994,358.2539622
1995,360.2389564
1996,362.0049615
1997,363.2519618
1998,365.932958
1999,367.8449748
2000,369.12498
2001,370.6729901
2002,372.8349943
2003,375.410995
2004,376.9870025
2005,378.907005
2006,381.010007
2007,382.6030247
2008,384.7390186
2009,386.280019
2010,388.7170293
2011,390.9440147
2012,393.0159927
2013,395.7249793
2014,397.5469769
